cust_id,age,gender,account_type,mob,state,"wallet_segment(15,50,+)",avg_monthly_balance,avg_monthly_spend,total_balance,credit_score,invested_products
1,58,Male,Saving,95,NE,LW,42417,30777,11640,>=740,3
2,20,Male,Saving,28,CA,MW,26543,16559,-13150,>=670 & <740,3
3,55,Female,Saving,98,WS,MW,46192,41860,8664,>=740,2
4,24,Male,Checking,13,TX,HW,68075,77833,-243257,>=740,0
5,42,Male,Investment,38,LS,HW,24146,22346,25946,>=620 & <670,5
6,32,Female,Saving,30,NJ,MW,24146,24340,23758,>=670 & <740,2
7,31,Female,Investment,88,NJ,MW,69480,52389,312102,>=620 & <670,3
8,42,Female,Investment,89,KT,LW,49185,43865,-38545,>=740,0
9,69,Female,Checking,35,NJ,LW,18263,26456,30210,>=670 & <740,5
10,49,Female,Investment,59,WS,LW,43564,35808,110396,>=740,4
11,45,Female,Checking,29,WS,MW,18414,12555,5859,>=620 & <670,5
12,28,Female,Investment,9,FL,MW,18356,27469,9373,>=740,0
13,61,Male,Investment,69,NE,HW,36049,32666,-22517,>=620 & <670,3
14,18,Female,Investment,98,WS,MW,100,69,393,>=740,5
15,50,Male,Saving,48,WS,MW,100,130,370,>=740,2
16,49,Male,Saving,47,NE,LW,15942,13021,66689,>=620 & <670,5
17,49,Male,Investment,99,WS,LW,4679,4808,13779,>=670 & <740,4
18,73,Female,Saving,70,CA,HW,37856,36307,118215,>=670 & <740,4
19,46,Male,Saving,29,NJ,MW,7299,8244,-1890,>=620 & <670,0
20,63,Male,Saving,9,MS,HW,100,66,2,>=740,3
21,31,Male,Investment,74,LS,MW,66641,87043,92478,>=620 & <670,0
22,60,Female,Checking,55,FL,MW,24355,30593,115537,>=620 & <670,3
23,64,Female,Saving,32,CA,LW,31688,31806,63140,>=670 & <740,3
24,33,Male,Checking,71,NJ,LW,100,149,-49,>=740,1
25,28,Female,Checking,62,CA,HW,16390,23145,-59800,>=620 & <670,3
26,34,Female,Checking,55,KT,MW,32773,34018,-36508,>=670 & <740,0
27,55,Male,Investment,41,MS,LW,1225,1260,3605,>=620 & <670,4
28,23,Male,Saving,77,NJ,MW,39392,31973,-24554,>=740,4
29,20,Male,Checking,85,LS,MW,14984,13256,18440,>=740,5
30,38,Male,Checking,51,WS,MW,22707,19755,48366,>=620 & <670,3
31,57,Male,Saving,69,CA,MW,14957,10757,34114,>=740,1
32,41,Female,Saving,57,KT,HW,76306,87790,370046,>=740,4
33,37,Male,Saving,34,NJ,HW,29662,37616,-53524,>=670 & <740,4
34,31,Female,Saving,88,NE,MW,3557,2938,619,>=740,3
35,71,Female,Saving,1,TX,HW,50563,59330,33029,>=740,3
36,53,Female,Investment,2,NJ,LW,100,139,61,>=740,2
37,55,Male,Checking,17,MS,MW,35221,49629,-113666,>=670 & <740,5
38,33,Male,Checking,100,KT,HW,100,96,308,>=670 & <740,1
39,69,Male,Checking,4,WS,HW,100,89,222,>=670 & <740,1
40,68,Male,Checking,5,MN,LW,34921,46617,-167,>=670 & <740,1
41,32,Male,Investment,25,FL,MW,48461,66775,-54942,>=740,4
42,43,Female,Saving,15,NE,LW,34284,50269,52583,>=620 & <670,4
43,45,Female,Investment,41,FL,MW,27108,28742,50948,>=670 & <740,0
44,63,Female,Saving,67,KT,MW,22472,32499,69834,>=670 & <740,3
45,22,Female,Investment,41,NJ,HW,100,87,-48,>=670 & <740,3
46,62,Female,Investment,17,CA,MW,12003,17360,37298,>=740,4
47,37,Female,Investment,1,NE,LW,18484,18241,37697,>=670 & <740,3
48,46,Male,Investment,61,WS,MW,56428,48268,193764,>=620 & <670,1
49,61,Female,Saving,26,WS,LW,38590,31657,122703,>=670 & <740,3
50,74,Male,Investment,90,FL,MW,100,81,519,>=740,0
51,67,Female,Saving,23,KT,MW,38102,41975,-129798,>=620 & <670,3
52,60,Female,Checking,79,KT,MW,20372,28850,23788,>=740,3
53,46,Female,Saving,82,NE,HW,13076,13980,50496,>=670 & <740,3
54,22,Female,Saving,35,TX,MW,45291,49192,-7802,>=670 & <740,3
55,62,Male,Investment,28,NJ,MW,55774,50073,22804,>=620 & <670,1
56,71,Female,Checking,99,LS,HW,53282,32905,134790,>=740,0
57,40,Female,Checking,54,KT,HW,9019,9844,25407,>=740,1
58,35,Female,Checking,4,FL,MW,22269,26972,35132,>=740,3
59,26,Male,Checking,76,LS,MW,38281,25860,101404,>=740,3
60,29,Male,Checking,49,TX,LW,54388,48631,71659,>=740,3
61,34,Male,Checking,3,KT,LW,18020,26250,9790,>=740,5
62,20,Male,Saving,26,MS,MW,25358,20658,80774,>=740,1
63,47,Female,Checking,22,LS,MW,2341,2980,-3619,>=670 & <740,0
64,55,Male,Checking,74,FL,MW,100,124,-148,>=620 & <670,5
65,67,Female,Investment,77,NJ,HW,50313,55814,-117129,>=740,3
66,60,Female,Saving,65,TX,LW,63906,62503,193121,>=670 & <740,2
67,58,Female,Investment,20,FL,LW,28199,30160,78714,>=740,4
68,67,Female,Checking,56,LS,LW,55088,75280,-170752,>=740,3
69,33,Female,Investment,79,FL,MW,39040,40791,35538,>=740,1
70,40,Female,Checking,36,LS,HW,13872,11772,-9672,>=620 & <670,1
71,64,Female,Checking,72,CA,MW,39034,46111,-28308,>=740,0
72,23,Female,Saving,52,CA,MW,68450,76896,43112,>=670 & <740,5
73,53,Female,Checking,90,MN,LW,29104,24047,-18990,>=670 & <740,0
74,65,Male,Saving,28,MN,LW,69116,78144,111148,>=620 & <670,1
75,36,Male,Checking,23,NE,LW,100,108,192,>=620 & <670,4
76,36,Male,Investment,97,MN,LW,50547,30886,28097,>=740,3
77,39,Male,Saving,33,MN,LW,32176,21197,107507,>=740,5
78,61,Male,Saving,20,LS,HW,22524,15241,29807,>=740,3
79,56,Male,Investment,49,MN,HW,32294,28018,49398,>=670 & <740,4
80,57,Male,Investment,95,NJ,HW,100,78,-34,>=740,0
81,28,Male,Saving,71,NJ,LW,24508,23715,52188,>=670 & <740,0
82,32,Female,Investment,37,MN,LW,38927,31534,53713,>=670 & <740,0
83,52,Male,Investment,20,NE,HW,66947,44470,484,>=740,5
84,70,Female,Checking,16,MN,MW,17043,20958,-32703,>=670 & <740,0
85,56,Male,Checking,95,TX,MW,9787,6100,13474,>=740,5
86,70,Female,Investment,6,WS,MW,17456,20709,10950,>=740,3
87,58,Female,Saving,61,TX,MW,52885,47012,-41139,>=670 & <740,3
88,62,Female,Checking,85,FL,HW,38218,41852,111020,>=670 & <740,2
89,38,Male,Checking,66,MS,MW,16755,18235,48785,>=620 & <670,4
90,41,Female,Investment,57,MS,LW,42831,46869,-58983,>=740,5
91,49,Male,Saving,81,LS,HW,32426,40169,57109,>=740,3
92,23,Male,Saving,60,NJ,MW,54216,40042,205170,>=740,5
93,35,Female,Checking,61,CA,MW,12448,9089,6718,>=740,0
94,35,Female,Checking,65,NE,HW,21808,18636,-9120,>=740,1
95,46,Female,Checking,43,KT,HW,20197,18974,22643,>=740,1
96,54,Female,Saving,100,FL,LW,100,127,92,>=670 & <740,5
97,68,Male,Checking,5,WS,MW,37403,42308,-131829,>=620 & <670,4
98,47,Male,Investment,19,FL,HW,36526,53801,-178678,>=740,2
99,39,Female,Investment,11,TX,HW,30127,41376,-3620,>=740,5
100,74,Female,Investment,5,LS,LW,24135,28190,16025,>=740,0
101,45,Male,Investment,91,NJ,MW,100,122,-22,>=670 & <740,0
102,36,Female,Checking,56,WS,LW,19483,18915,79068,>=620 & <670,1
103,23,Female,Investment,88,CA,MW,21432,24107,-53564,>=740,2
104,47,Female,Investment,2,MN,HW,9943,12029,7857,>=670 & <740,2
105,55,Female,Investment,55,NE,MW,25967,22640,13308,>=620 & <670,1
106,42,Female,Investment,38,NE,LW,40101,54017,-1647,>=620 & <670,4
107,73,Male,Investment,96,MN,HW,77154,108990,-172662,>=670 & <740,5
108,30,Female,Investment,97,WS,MW,34364,48558,157626,>=670 & <740,3
109,20,Female,Investment,17,NJ,HW,36438,32577,80598,>=670 & <740,1
110,68,Female,Investment,65,NE,HW,28138,23390,42382,>=740,2
111,69,Male,Checking,10,WS,HW,100,80,280,>=740,4
112,41,Male,Checking,2,NE,MW,29337,29610,87192,>=740,3
113,70,Female,Saving,87,CA,MW,31505,36469,48118,>=740,1
114,59,Male,Investment,60,NE,MW,91581,64565,27016,>=670 & <740,3
115,25,Male,Saving,69,WS,MW,25190,23525,57040,>=740,5
116,64,Male,Checking,84,NJ,HW,37538,43322,69292,>=740,2
117,31,Female,Checking,31,TX,LW,29132,35456,39292,>=620 & <670,3
118,35,Male,Saving,59,NJ,MW,783,922,2993,>=620 & <670,2
119,33,Male,Investment,27,NJ,HW,58570,64355,164140,>=740,1
120,39,Male,Investment,1,NE,HW,48798,35633,-9303,>=740,1
121,25,Male,Saving,2,TX,HW,49775,40523,108802,>=620 & <670,2
122,21,Male,Investment,54,KT,LW,7265,4774,14738,>=740,4
123,24,Female,Investment,29,LS,LW,65069,84908,135690,>=670 & <740,5
124,19,Male,Checking,52,FL,MW,100,104,296,>=740,0
